City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port shepstone,-30.7414,30.455,12.62,68,2,2.38,ZA,1690257759
1,shanwei,22.782,115.3475,31.59,63,23,2.71,CN,1690257759
2,isafjordur,66.0755,-23.124,8.7,95,100,3.15,IS,1690257760
3,katsuura,35.1333,140.3,28.12,75,57,5.02,JP,1690257760
4,tiksi,71.6872,128.8694,5.67,75,96,2.97,RU,1690257760
5,iskateley,67.6803,53.1512,18.33,72,61,4.57,RU,1690257765
6,verkhnyaya sinyachikha,57.976,61.6673,20.83,58,17,1.91,RU,1690257772
7,whitehorse,60.7161,-135.0538,20.57,53,75,3.09,CA,1690257653
8,iqaluit,63.7506,-68.5145,5.39,93,40,2.68,CA,1690257669
9,adamstown,-25.066,-130.1015,20.51,72,15,3.92,PN,1690257494
10,thompson,55.7435,-97.8558,18.09,77,100,6.69,CA,1690257774
11,zaporizhia,47.8167,35.1833,21.12,54,2,3.07,UA,1690257626
12,grytviken,-54.2811,-36.5092,-5.57,78,20,5.21,GS,1690257493
13,tanout,14.9709,8.8879,28.18,56,64,6.39,NE,1690257776
14,kaitong,44.8135,123.15,28.25,57,60,3.81,CN,1690257776
15,carauari,-4.8828,-66.8958,23.64,65,62,0.95,BR,1690257535
16,olonkinbyen,70.9221,-8.7187,5.0,91,100,5.07,SJ,1690257642
17,dudinka,69.4058,86.1778,18.68,46,41,6.67,RU,1690257680
18,jianguang,28.1938,115.7836,32.55,66,91,1.51,CN,1690257777
19,dzierzgon,53.922,19.3471,17.1,91,30,2.64,PL,1690257566
20,sol'-iletsk,51.1631,54.9918,21.49,55,100,3.04,RU,1690257546
21,talnakh,69.4865,88.3972,18.45,51,45,2.11,RU,1690257778
22,bilibino,68.0546,166.4372,12.34,84,100,0.54,RU,1690257493
23,machico,32.7,-16.7667,22.78,83,75,4.63,PT,1690257655
24,utrik,11.2278,169.8474,28.73,74,100,7.36,MH,1690257495
25,yellowknife,62.456,-114.3525,24.29,41,75,5.66,CA,1690257779
26,pemangkat,1.1667,108.9667,30.24,63,91,4.78,ID,1690257779
27,fedorovka,53.6314,62.7078,21.51,55,50,0.76,KZ,1690257779
28,ushuaia,-54.8,-68.3,-1.19,69,0,1.03,AR,1690257779
29,bethel,41.3712,-73.414,24.2,81,0,1.54,US,1690257535
30,lompoc,34.6391,-120.4579,25.08,89,0,3.6,US,1690257584
31,sinabang,2.4803,96.3801,29.43,68,49,0.75,ID,1690257780
32,ta'if,21.2703,40.4158,24.56,13,90,1.02,SA,1690257618
33,puerto ayora,-0.7393,-90.3518,24.75,95,55,3.58,EC,1690257599
34,mandalgovi,45.7625,106.2708,23.51,39,83,9.8,MN,1690257780
35,richfield,44.8833,-93.283,24.5,82,0,1.54,US,1690257507
36,port mathurin,-19.6833,63.4167,23.65,75,83,9.4,MU,1690257781
37,tazovsky,67.4667,78.7,18.12,72,24,3.54,RU,1690257781
38,mount gambier,-37.8333,140.7667,14.8,58,49,2.05,AU,1690257781
39,hami,42.8,93.45,34.42,13,0,2.55,CN,1690257782
40,palikir - national government center,6.9248,158.1611,30.47,74,100,4.12,FM,1690257782
41,veinticinco de mayo,-35.4323,-60.1727,3.88,93,0,0.89,AR,1690257782
42,cambridge,43.3601,-80.3127,20.63,88,40,0.0,CA,1690257495
43,ribeira grande,38.5167,-28.7,21.54,85,15,2.68,PT,1690257782
44,embi,48.8264,58.1442,26.56,34,100,2.68,KZ,1690257783
45,badger,64.8,-147.5333,29.95,39,75,3.6,US,1690257783
46,bredasdorp,-34.5322,20.0403,5.85,74,0,1.93,ZA,1690257658
47,saldanha,-33.0117,17.9442,3.03,77,0,4.32,ZA,1690257783
48,albany,42.6001,-73.9662,20.24,89,29,1.17,US,1690257651
49,edinburgh of the seven seas,-37.0676,-12.3116,14.88,81,77,17.02,SH,1690257784
50,nushki,29.5542,66.0215,28.93,53,100,1.09,PK,1690257784
51,pisco,-13.7,-76.2167,19.03,82,0,5.66,PE,1690257784
52,papatowai,-46.5619,169.4708,7.72,80,82,7.51,NZ,1690257598
53,waitangi,-43.9535,-176.5597,11.57,98,100,1.34,NZ,1690257785
54,arinos,-15.9169,-46.1056,20.95,63,93,1.24,BR,1690257785
55,san fernando de apure,7.8878,-67.4724,23.58,95,66,0.55,VE,1690257785
56,tralee,52.2704,-9.7026,10.14,91,18,1.04,IE,1690257785
57,port-aux-francais,-49.35,70.2167,3.32,65,100,8.69,TF,1690257493
58,silute,55.3489,21.4831,15.92,98,100,2.99,LT,1690257786
